,content,polygon,spans
0,Tariff Book,"[0.5932000000000001, 0.7301000000000001, 2.0076, 0.7301000000000001, 2.0076, 0.9633, 0.5932000000000001, 0.9633]","[{'offset': 0, 'length': 11}]"
1,April 2024 to March 2025,"[0.6033000000000001, 1.1914, 2.5653, 1.1762, 2.5703, 1.3587, 0.6033000000000001, 1.3739]","[{'offset': 12, 'length': 24}]"
2,TRANSNET,"[4.2636, 0.578, 5.2167, 0.578, 5.2167, 0.725, 4.2636, 0.7199]","[{'offset': 37, 'length': 8}]"
3,national ports,"[4.294, 1.5007000000000001, 4.9683, 1.5007000000000001, 4.9683, 1.6224, 4.294, 1.6173000000000002]","[{'offset': 46, 'length': 14}]"
4,authority,"[4.294, 1.6122, 4.7503, 1.6173000000000002, 4.7503, 1.7339, 4.294, 1.7288000000000001]","[{'offset': 61, 'length': 9}]"
5,Picture: Port of Cape Town,"[2.9353, 7.3513, 5.1812, 7.3615, 5.1812, 7.549, 2.9353, 7.5288]","[{'offset': 71, 'length': 26}]"
6,TRANSNET NATIONAL PORTS AUTHORITY,"[7.1077, 0.9176000000000001, 10.3574, 0.9126000000000001, 10.3574, 1.0799, 7.1077, 1.0799]","[{'offset': 98, 'length': 33}]"
7,PORT TARIFFS,"[8.167300000000001, 1.526, 9.2978, 1.526, 9.2978, 1.6832, 8.167300000000001, 1.6832]","[{'offset': 132, 'length': 12}]"
8,Twenty Third Edition,"[7.9949, 1.8302, 9.46, 1.8302, 9.46, 2.0026, 7.9949, 2.0026]","[{'offset': 145, 'length': 20}]"
9,1 April 2024,"[8.3346, 2.1446, 9.1508, 2.1446, 9.1508, 2.3119, 8.3346, 2.3068]","[{'offset': 166, 'length': 12}]"
10,Issued by:,"[8.3244, 2.4487, 9.1356, 2.4487, 9.1356, 2.6211, 8.3244, 2.6161]","[{'offset': 179, 'length': 10}]"
11,Transnet National Ports Authority,"[7.5995, 2.6008, 9.8605, 2.6059, 9.8605, 2.7681, 7.5995, 2.758]","[{'offset': 190, 'length': 33}]"
12,"N2 Neptune Road, Off Klub Road, Port of Ngqura, Gqeberha","[6.7123, 2.7428, 10.7984, 2.7479, 10.7984, 2.9253, 6.7123, 2.9253]","[{'offset': 224, 'length': 56}]"
13,ISBN 978-0-620-56322-2,"[7.8783, 3.047, 9.5766, 3.047, 9.5766, 3.2194, 7.8783, 3.2194]","[{'offset': 281, 'length': 22}]"
14,The tariff book is available on the,"[7.4372, 3.3613, 10.0278, 3.3613, 10.0278, 3.5185, 7.4372, 3.5185]","[{'offset': 304, 'length': 35}]"
15,Internet Website Address:,"[7.711, 3.5185, 9.7389, 3.5236, 9.7389, 3.6757, 7.711, 3.6706000000000003]","[{'offset': 340, 'length': 25}]"
16,www.transnetnationalportsauthority.net,"[7.3815, 3.6757, 10.0887, 3.6757, 10.0887, 3.8379000000000003, 7.3815, 3.8379000000000003]","[{'offset': 366, 'length': 38}]"
17,DISCLAIMER,"[8.2332, 4.279, 9.237, 4.279, 9.237, 4.4361, 8.2332, 4.4361]","[{'offset': 405, 'length': 10}]"
18,Transnet National Ports Authority can not assure that the Tariff Book,"[6.4334, 4.5781, 11.0215, 4.5781, 11.0215, 4.7454, 6.4334, 4.7403]","[{'offset': 416, 'length': 69}]"
19,is free of errors and will therefore not be liable for any loss or,"[6.6818, 4.7403, 10.7731, 4.7403, 10.7731, 4.9076, 6.6818, 4.8975]","[{'offset': 486, 'length': 66}]"
20,damages arising from such errors.,"[7.5893, 4.8874, 9.8656, 4.8874, 9.8656, 5.0547, 7.5893, 5.0597]","[{'offset': 553, 'length': 33}]"
21,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7975, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 587, 'length': 33}]"
22,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9683, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 621, 'length': 35}]"
23,02,"[10.8288, 7.7924, 11.0316, 7.7924, 11.0316, 7.9343, 10.8339, 7.9242]","[{'offset': 657, 'length': 2}]"
0,CONTENTS,"[2.4537, 0.9683, 3.3004, 0.9683, 3.3004, 1.1255, 2.4537, 1.1255]","[{'offset': 660, 'length': 8}]"
1,DEFINITIONS,"[0.5932000000000001, 1.2573, 1.4398, 1.2523, 1.4398, 1.3841, 0.5932000000000001, 1.3891]","[{'offset': 669, 'length': 11}]"
2,SECTION 1,"[0.5982000000000001, 1.4855, 1.2624, 1.4855, 1.2624, 1.6173000000000002, 0.5982000000000001, 1.6173000000000002]","[{'offset': 681, 'length': 9}]"
3,1.1 LIGHT DUES,"[0.6033000000000001, 1.7238, 1.4956, 1.7238, 1.4956, 1.8556, 0.6033000000000001, 1.8556]","[{'offset': 691, 'length': 14}]"
4,1.2 SOUTH AFRICAN MARITIME,"[0.6033000000000001, 1.8404, 2.3219, 1.8404, 2.3219, 1.9722, 0.6033000000000001, 1.9722]","[{'offset': 706, 'length': 26}]"
5,SAFETY AUTHORITY( SAM-,"[0.8973000000000001, 1.957, 2.3422, 1.957, 2.3422, 2.0939, 0.8973000000000001, 2.0939]","[{'offset': 733, 'length': 22}]"
6,SA) LEVY,"[0.9024000000000001, 2.0888, 1.5513, 2.0888, 1.5513, 2.2155, 0.9024000000000001, 2.2155]","[{'offset': 756, 'length': 8}]"
7,SECTION 2,"[0.5881000000000001, 2.3169, 1.2624, 2.3169, 1.2624, 2.4437, 0.5881000000000001, 2.4437]","[{'offset': 765, 'length': 9}]"
8,VESSEL TRAFFIC SERVICES (VTS),"[0.5881000000000001, 2.5451, 2.3777, 2.5501, 2.3777, 2.6972, 0.5881000000000001, 2.6870000000000003]","[{'offset': 775, 'length': 29}]"
9,2.1 VTS charges,"[0.5881000000000001, 2.7884, 1.5006, 2.7884, 1.5006, 2.9253, 0.5881000000000001, 2.9202]","[{'offset': 805, 'length': 15}]"
10,SECTION 3,"[0.5932000000000001, 3.0267, 1.2573, 3.0267, 1.2522, 3.1535, 0.5932000000000001, 3.1484]","[{'offset': 821, 'length': 9}]"
11,MARINE SERVICES,"[0.5932000000000001, 3.2599, 1.5918999999999999, 3.2599, 1.5918999999999999, 3.3867000000000003, 0.5932000000000001, 3.3867000000000003]","[{'offset': 831, 'length': 15}]"
12,3.1 General terms and conditions,"[0.5881000000000001, 3.4982, 2.3828, 3.5033, 2.3828, 3.625, 0.5881000000000001, 3.625]","[{'offset': 847, 'length': 32}]"
13,12,"[2.621, 3.5084, 2.7427, 3.5033, 2.7478, 3.6097, 2.621, 3.6047000000000002]","[{'offset': 880, 'length': 2}]"
14,3.2 Marine Services Incentive,"[0.5932000000000001, 3.6199, 2.185, 3.625, 2.185, 3.7466, 0.5932000000000001, 3.7416]","[{'offset': 883, 'length': 29}]"
15,12,"[2.621, 3.625, 2.7326, 3.625, 2.7376, 3.7314, 2.621, 3.7264]","[{'offset': 913, 'length': 2}]"
16,3.3 Pilotage services,"[0.5881000000000001, 3.7365, 1.7085, 3.7416, 1.7085, 3.8632, 0.5881000000000001, 3.8582]","[{'offset': 916, 'length': 21}]"
